City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
293,Granville,AU,72.77,light rain,-33.8333,151.0167,Mercure Sydney Parramatta
302,Castro,BR,79.56,few clouds,-24.7911,-50.0119,CHACARA BAILLY
304,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
308,Lompoc,US,66.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
309,Sungaipenuh,ID,65.86,light rain,-2.0833,101.3833,Penginapan Citra Alam
310,Mansa,IN,79.93,clear sky,29.9833,75.3833,STARiHOTEL Mansa
312,Phan Thiet,VN,75.97,few clouds,10.9333,108.1,Hotel Saigon-PT
315,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
317,Matara,LK,78.6,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
323,Poum,NC,77.47,overcast clouds,-20.2333,164.0167,
326,Yangjiang,CN,73.06,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
336,Ban Bung,TH,75.31,scattered clouds,18.3081,100.7044,เฮือนวาดเขียน
337,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
343,Moranbah,AU,69.3,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
350,Kathmandu,NP,70.02,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
351,Chabahar,IR,79.72,clear sky,25.2919,60.643,هتل گدروشیا
357,Nabire,ID,76.77,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
364,Quang Ngai,VN,73.6,overcast clouds,15.1167,108.8,Central Hotel
367,Snyder,US,68.32,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
369,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
373,Mafinga,TZ,71.2,light rain,-7.25,35.0667,
374,Gigmoto,PH,78.82,scattered clouds,13.7796,124.39,Cj's Travellers Inn
379,Bud,US,67.19,few clouds,39.447,-86.1758,Ted McQuinn Trust
380,Fiumicino,IT,68.95,clear sky,41.7675,12.2291,Al Porticciolo Hotel
383,Ewa Beach,US,74.7,clear sky,21.3156,-158.0072,Base Lodging
385,Fort Portal,UG,70.47,broken clouds,0.6617,30.2748,Elegance hotel
390,Sinnamary,GF,79.11,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
392,Camopi,GF,79.57,broken clouds,3.1655,-52.3158,La pousada
393,Hambantota,LK,77.34,thunderstorm with rain,6.1241,81.1185,Bungalow 63
395,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
397,Catuday,PH,78.89,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
405,Langsa,ID,75.9,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
408,Qui Nhon,VN,73.56,clear sky,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
423,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
425,Luau,AO,65.21,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
426,Barabai,ID,75.54,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
433,Hamilton,US,67.98,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
436,Catalao,BR,79.68,overcast clouds,-18.1658,-47.9464,Mara Turismo Hotel
438,Auki,SB,76.51,overcast clouds,-8.7676,160.7034,Auki Motel
441,Kieta,PG,79.41,light rain,-6.2167,155.6333,Uruna Bay Retreat
448,Coffs Harbour,AU,71.13,light intensity shower rain,-30.3,153.1333,Aquajet Motel
451,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
459,Nyakahanga,TZ,66.34,overcast clouds,-1.6033,31.1414,Citizen guest house
464,Charters Towers,AU,71.8,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
468,Mhango,TZ,66.6,moderate rain,-3.2833,32.85,
471,Sijunjung,ID,72.52,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
474,Lubango,AO,69.62,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
478,Iberia,US,68.05,scattered clouds,29.9502,-91.7507,back to back rv park
479,Padang,ID,77.36,moderate rain,-0.9492,100.3543,Mercure Padang
481,Santa Maria,BR,79.9,light rain,-29.6842,-53.8069,Hotel Morotin
487,Kawalu,ID,74.37,overcast clouds,-7.3817,108.2082,West Jontor
491,Guangyuan,CN,71.28,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
496,Wanning,CN,72.91,clear sky,18.8003,110.3967,Paradise Hotel
497,Motozintla,MX,77.0,clear sky,15.3667,-92.2333,Hotel Maya
504,Bati,ET,70.34,broken clouds,11.1833,40.0167,Meqdela Hotel
508,Beloha,MG,77.5,broken clouds,-25.1667,45.05,
512,Mogok,MM,67.86,clear sky,22.9167,96.5,MOGOK HILL HOTEL
517,Mareeba,AU,73.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
524,Jimenez,MX,66.97,clear sky,28.3333,-105.4,El torreon
526,Hoi An,VN,76.96,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
531,Alamos,MX,75.4,clear sky,27.0167,-108.9333,Luz del Sol
532,Kirakira,SB,79.63,overcast clouds,-10.4544,161.9205,SanBiz Lodge
535,Bagotville,AU,68.85,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
542,Kindu,CD,71.89,moderate rain,-2.95,25.95,Résidence Okanda
544,Hirara,JP,73.49,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
547,Gunnedah,AU,67.93,broken clouds,-30.9833,150.25,Gunnedah Motor Inn
548,Harur,IN,78.91,overcast clouds,12.0667,78.5,Indian Bank
552,Hays,US,66.24,few clouds,30.0502,-98.0336,Sinya on Lone Man Creek
557,Namibe,AO,75.4,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
559,Tulsipur,NP,72.68,broken clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
572,Bac Giang,VN,73.47,clear sky,21.2667,106.2,An Binh Hotel 2
576,Doaba,PK,76.14,clear sky,33.4244,70.7364,mian hayat khan
580,Zambezi,ZM,70.43,light rain,-13.5432,23.1047,Royal Kutachika Lodge
582,Punta Alta,AR,72.9,scattered clouds,-38.8759,-62.0736,Center Hotel Punta Alta
583,Mogadishu,SO,79.88,broken clouds,2.0371,45.3438,Hotel Juba
586,Nha Trang,VN,77.0,scattered clouds,12.25,109.1833,Hanoi Golden Hotel
588,Morehead,US,65.95,clear sky,37.2711,-87.1764,CCI Express Inn
592,Necochea,AR,71.98,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
596,Camacupa,AO,73.17,broken clouds,-12.0167,17.4833,
603,Coari,BR,77.47,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
607,Flinders,AU,70.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
610,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
611,San Mateo Del Mar,MX,78.28,clear sky,16.2,-95.0,
624,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
631,Hoopstad,ZA,72.16,overcast clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
634,Waingapu,ID,79.34,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
636,Alyangula,AU,76.87,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
641,Fare,PF,79.84,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
646,Polewali,ID,78.84,overcast clouds,-3.4324,119.3435,Lilianto Hotel
651,Mananjary,MG,78.98,overcast clouds,-21.2167,48.3333,Vahiny Lodge
656,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
659,Hun,LY,79.45,clear sky,29.1268,15.9477,Alrwasi Hotel
661,Beira,MZ,77.09,light rain,-19.8436,34.8389,Beira Terrace Hotel
662,Ures,MX,69.96,clear sky,29.4333,-110.4,Hacienda Quinta Napoles
673,Byron Bay,AU,68.94,light rain,-28.65,153.6167,Backpackers Inn
