City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sao Filipe,CV,2022-03-12 23:41:09,14.8961,-24.4956,75.51,55,6,16.89
67,Kodiak,US,2022-03-12 23:41:10,57.79,-152.4072,42.31,87,75,8.05
68,Baruun-Urt,MN,2022-03-12 23:41:11,46.6806,113.2792,19.99,65,100,8.99
69,Tasiilaq,GL,2022-03-12 23:39:55,65.6145,-37.6368,30.36,96,100,12.77
70,Nizhnevartovsk,RU,2022-03-12 23:41:11,60.9344,76.5531,-3.98,77,0,4.47
71,Tilichiki,RU,2022-03-12 23:41:11,60.4667,166.1,13.57,86,9,8.16
72,Dunedin,NZ,2022-03-12 23:41:12,-45.8742,170.5036,62.42,62,1,7.16
73,Zabid,YE,2022-03-12 23:41:12,14.1951,43.3152,76.15,72,49,4.05
74,Zamora,EC,2022-03-12 23:41:13,-4.0692,-78.9567,68.49,98,100,4.59
75,Tyrma,RU,2022-03-12 23:41:13,50.0833,132.1667,18.23,90,100,1.39
76,Ancud,CL,2022-03-12 23:41:14,-41.8697,-73.8203,55.42,82,35,1.92
77,Castro,BR,2022-03-12 23:38:55,-24.7911,-50.0119,61.39,98,100,6.42
78,Barrow,US,2022-03-12 23:41:15,71.2906,-156.7887,-16.58,76,0,9.22
79,Bredasdorp,ZA,2022-03-12 23:41:15,-34.5322,20.0403,63.72,82,32,4.61
80,Jamestown,US,2022-03-12 23:39:44,42.097,-79.2353,16.72,52,100,17.27
81,Mar Del Plata,AR,2022-03-12 23:41:16,-38.0023,-57.5575,66.09,78,0,15.01
82,Vaini,TO,2022-03-12 23:41:16,-21.2,-175.2,86.16,74,40,6.91
83,Provideniya,RU,2022-03-12 23:41:17,64.3833,-173.3,21.51,63,0,9.55
84,Luderitz,NA,2022-03-12 23:41:17,-26.6481,15.1594,64.22,91,13,10.51
85,Hobart,AU,2022-03-12 23:41:17,-42.8794,147.3294,68.05,63,20,5.75
86,Lagoa Nova,BR,2022-03-12 23:41:18,-6.1,-36.4833,70.21,86,96,7.96
87,Camacupa,AO,2022-03-12 23:41:18,-12.0167,17.4833,62.58,95,100,5.7
88,Kutum,SD,2022-03-12 23:41:03,14.2,24.6667,62.47,18,3,7.65
89,Butaritari,KI,2022-03-12 23:42:18,3.0707,172.7902,81.54,77,34,21.23
90,Zapolyarnyy,RU,2022-03-12 23:42:19,69.4154,30.8136,31.28,99,99,3.36
91,Kaitangata,NZ,2022-03-12 23:42:19,-46.2817,169.8464,63.55,56,4,5.73
92,Sorong,ID,2022-03-12 23:42:19,-0.8833,131.25,82.62,78,91,7.02
93,Upernavik,GL,2022-03-12 23:42:20,72.7868,-56.1549,-15.5,99,99,10.54
94,Yellowknife,CA,2022-03-12 23:40:15,62.456,-114.3525,4.41,67,75,13.8
95,Lorengau,PG,2022-03-12 23:42:20,-2.0226,147.2712,83.66,74,100,6.53
96,Mahebourg,MU,2022-03-12 23:42:21,-20.4081,57.7,79.25,94,75,11.5
97,Biankouma,CI,2022-03-12 23:42:21,7.7391,-7.6138,73.4,83,66,3.4
98,Hauterive,FR,2022-03-12 23:42:21,46.0901,3.4459,43.56,73,83,11.7
99,Leningradskiy,RU,2022-03-12 23:42:22,69.3833,178.4167,3.67,85,8,6.73
100,College,US,2022-03-12 23:42:22,64.8569,-147.8028,16.29,38,20,17.27
101,Reconquista,AR,2022-03-12 23:42:22,-29.15,-59.65,66.38,63,55,5.12
102,Cuamba,MZ,2022-03-12 23:42:23,-14.8031,36.5372,67.86,99,99,2.15
103,Severo-Kurilsk,RU,2022-03-12 23:39:54,50.6789,156.125,32.77,82,88,5.37
104,Kruisfontein,ZA,2022-03-12 23:42:23,-34.0033,24.7314,71.56,77,58,14.9
105,Victoria,HK,2022-03-12 23:42:24,22.2855,114.1577,73.45,83,8,8.01
106,East London,ZA,2022-03-12 23:42:24,-33.0153,27.9116,77.77,74,63,11.61
107,Salalah,OM,2022-03-12 23:42:24,17.0151,54.0924,71.92,52,62,1.16
108,Hwange,ZW,2022-03-12 23:42:25,-18.3693,26.5019,69.01,69,63,2.48
109,Dikson,RU,2022-03-12 23:42:25,73.5069,80.5464,-10.19,93,100,19.75
110,Khani,GE,2022-03-12 23:42:26,41.9563,42.9566,24.37,85,80,5.08
111,Aswan,EG,2022-03-12 23:42:26,24.0934,32.907,56.5,33,0,4.61
112,Talnakh,RU,2022-03-12 23:42:26,69.4865,88.3972,-24.16,96,45,7.76
113,Fortuna,US,2022-03-12 23:42:27,40.5982,-124.1573,57.54,69,100,16.11
114,Narsaq,GL,2022-03-12 23:42:27,60.9167,-46.05,14.22,81,100,7.85
115,Cairns,AU,2022-03-12 23:42:27,-16.9167,145.7667,85.1,83,75,11.5
116,Chumikan,RU,2022-03-12 23:42:28,54.7183,135.315,9.34,87,42,3.24
117,Marsh Harbour,BS,2022-03-12 23:42:28,26.5412,-77.0636,73.08,86,40,32.57
118,Kapaa,US,2022-03-12 23:42:28,22.0752,-159.319,82.38,65,20,12.66
119,Pio Xii,BR,2022-03-12 23:42:29,-3.8325,-45.1525,74.16,97,100,3.27
120,Darnah,LY,2022-03-12 23:42:29,32.767,22.6367,50.18,83,75,24.2
121,Peterhead,GB,2022-03-12 23:42:30,57.5058,-1.7981,43.2,91,98,20.09
122,Oranjemund,NA,2022-03-12 23:42:30,-28.55,16.4333,64.47,93,53,8.77
123,Hambantota,LK,2022-03-12 23:42:30,6.1241,81.1185,77.11,85,100,6.71
124,Umm Kaddadah,SD,2022-03-12 23:42:31,13.6017,26.6876,66.69,16,13,14.88
125,Mehamn,NO,2022-03-12 23:42:31,71.0357,27.8492,28.8,94,91,7.25
126,Tuatapere,NZ,2022-03-12 23:42:31,-46.1333,167.6833,65.66,51,2,3.2
127,Nileshwar,IN,2022-03-12 23:42:32,12.25,75.1,75.36,79,13,5.28
128,Seoul,KR,2022-03-12 23:40:30,37.5683,126.9778,55.0,93,100,4.61
129,Kintampo,GH,2022-03-12 23:42:32,8.0563,-1.7306,81.46,56,60,8.25
130,Acapulco,MX,2022-03-12 23:41:47,16.8634,-99.8901,78.62,78,0,13.8
131,Carnarvon,AU,2022-03-12 23:42:33,-24.8667,113.6333,73.47,78,0,12.66
132,Bambous Virieux,MU,2022-03-12 23:42:33,-20.3428,57.7575,79.21,94,75,11.5
133,Sterling,US,2022-03-12 23:41:24,39.0062,-77.4286,26.6,64,40,21.85
134,Hithadhoo,MV,2022-03-12 23:42:34,-0.6,73.0833,82.63,71,10,8.28
135,Awjilah,LY,2022-03-12 23:42:34,29.1081,21.2869,54.23,58,48,8.72
136,Mozarlandia,BR,2022-03-12 23:42:34,-14.7447,-50.5706,75.04,89,89,3.94
137,Kattivakkam,IN,2022-03-12 23:43:35,13.2167,80.3167,79.07,85,44,0.63
138,Los Llanos De Aridane,ES,2022-03-12 23:43:35,28.6585,-17.9182,60.55,86,20,3.44
139,Caranavi,BO,2022-03-12 23:43:35,-15.8167,-67.55,61.0,100,100,0.49
140,Warmbad,NA,2022-03-12 23:43:36,-28.45,18.7333,75.18,65,58,11.32
141,Georgetown,MY,2022-03-12 23:41:27,5.4112,100.3354,80.53,93,20,8.05
142,Hearst,CA,2022-03-12 23:43:36,49.6835,-83.6665,10.65,96,100,2.39
143,Padang,ID,2022-03-12 23:43:36,-0.9492,100.3543,75.25,83,99,3.09
144,Hoima,UG,2022-03-12 23:43:37,1.4356,31.3436,66.88,69,96,2.66
145,Kieta,PG,2022-03-12 23:43:37,-6.2167,155.6333,84.76,60,12,2.84
146,Jiuquan,CN,2022-03-12 23:43:38,39.7432,98.5174,41.72,42,57,7.78
147,Mount Gambier,AU,2022-03-12 23:43:38,-37.8333,140.7667,64.31,63,1,6.91
148,Malayal,PH,2022-03-12 23:43:38,7.208,121.942,78.6,75,85,1.36
149,Verkhnevilyuysk,RU,2022-03-12 23:38:42,63.4453,120.3167,-14.53,100,99,1.28
150,Naze,JP,2022-03-12 23:43:39,28.3667,129.4833,67.12,76,4,9.84
151,Aguimes,ES,2022-03-12 23:43:39,27.9054,-15.4461,61.43,72,20,19.57
152,Half Moon Bay,US,2022-03-12 23:43:40,37.4636,-122.4286,71.89,61,75,26.46
153,Puerto Baquerizo Moreno,EC,2022-03-12 23:43:40,-0.9,-89.6,80.85,71,9,4.63
154,Russell,US,2022-03-12 23:43:41,32.3502,-85.1999,43.88,28,0,20.71
155,Balkhash,KZ,2022-03-12 23:43:41,46.844,74.9804,36.54,99,100,8.7
156,Dingle,PH,2022-03-12 23:43:41,10.9995,122.6711,80.87,80,62,5.14
157,Camalu,MX,2022-03-12 23:43:42,30.85,-116.0667,64.49,38,52,9.69
158,North Bend,US,2022-03-12 23:43:42,43.4065,-124.2243,53.24,91,100,20.71
159,Chokurdakh,RU,2022-03-12 23:43:42,70.6333,147.9167,-17.37,98,98,3.11
160,Pita,GN,2022-03-12 23:43:43,10.8333,-12.5833,76.98,36,53,1.72
161,Jurmala,LV,2022-03-12 23:43:43,56.968,23.7704,24.82,93,0,1.14
162,Tiksi,RU,2022-03-12 23:43:43,71.6872,128.8694,-18.98,99,86,4.85
163,Saldanha,ZA,2022-03-12 23:43:44,-33.0117,17.9442,64.45,91,5,6.2
164,Poroina Mare,RO,2022-03-12 23:43:44,44.4953,22.9364,26.37,67,5,2.84
165,Saint George,US,2022-03-12 23:43:44,37.1041,-113.5841,66.25,17,0,1.01
166,Bandarbeyla,SO,2022-03-12 23:43:45,9.4942,50.8122,75.61,78,47,12.24
167,Ossora,RU,2022-03-12 23:43:45,59.2353,163.0719,22.93,77,90,3.74
168,Diffa,NE,2022-03-12 23:43:45,13.3154,12.6113,75.94,19,100,9.57
169,Saint-Augustin,CA,2022-03-12 23:43:46,51.226,-58.6502,22.28,96,100,28.3
170,Sao Joao Da Barra,BR,2022-03-12 23:43:46,-21.6403,-41.0511,77.81,88,6,6.38
171,Ponnampet,IN,2022-03-12 23:43:47,12.15,75.9333,63.55,45,24,3.27
172,Okhotsk,RU,2022-03-12 23:43:47,59.3833,143.3,18.84,92,100,5.88
173,Buritizeiro,BR,2022-03-12 23:43:47,-17.3511,-44.9622,78.22,58,93,0.92
174,Jacqueville,CI,2022-03-12 23:43:48,5.2052,-4.4146,79.43,82,100,8.97
175,Cape Town,ZA,2022-03-12 23:42:03,-33.9258,18.4232,65.12,84,8,7.45
176,Calbuco,CL,2022-03-12 23:43:48,-41.768,-73.1273,60.01,83,22,11.48
177,Aklavik,CA,2022-03-12 23:43:49,68.2191,-135.0107,-5.8,65,40,10.36
178,Egvekinot,RU,2022-03-12 23:43:49,66.3167,-179.1667,18.34,66,0,7.87
179,Nouadhibou,MR,2022-03-12 23:43:49,20.931,-17.0347,64.38,72,0,19.57
180,Palmerston,AU,2022-03-12 23:43:50,-12.486,130.9833,85.93,77,20,6.91
181,Luena,AO,2022-03-12 23:44:50,-11.7833,19.9167,61.16,96,100,3.91
182,Port Elizabeth,ZA,2022-03-12 23:44:50,-33.918,25.5701,71.89,78,0,8.05
183,Resistencia,AR,2022-03-12 23:41:15,-27.4606,-58.9839,73.45,55,0,8.05
184,Burnie,AU,2022-03-12 23:44:51,-41.0667,145.9167,69.93,69,24,8.39
185,Bethel,US,2022-03-12 23:44:51,41.3712,-73.414,23.76,85,100,15.01
186,Homer,US,2022-03-12 23:44:52,59.6425,-151.5483,43.81,60,0,5.01
187,Hilo,US,2022-03-12 23:44:52,19.7297,-155.09,80.33,66,75,13.8
188,Ishinomaki,JP,2022-03-12 23:44:53,38.4167,141.3,42.8,64,97,5.32
189,Stornoway,GB,2022-03-12 23:44:54,58.2093,-6.3865,37.92,92,20,1.01
190,Kalabo,ZM,2022-03-12 23:44:54,-14.97,22.6814,65.48,93,51,4.12
191,Ribeira Grande,PT,2022-03-12 23:44:54,38.5167,-28.7,57.78,63,87,14.88
192,Poronaysk,RU,2022-03-12 23:44:55,49.2167,143.1167,22.96,91,72,1.63
193,Gorzow Wielkopolski,PL,2022-03-12 23:40:15,52.7368,15.2288,34.39,41,0,7.45
194,Pevek,RU,2022-03-12 23:44:55,69.7008,170.3133,-7.51,99,100,1.92
195,Dhidhdhoo,MV,2022-03-12 23:44:56,6.8833,73.1,82.08,71,1,8.21
196,Tabou,CI,2022-03-12 23:44:56,4.423,-7.3528,79.09,86,89,3.38
197,Port Blair,IN,2022-03-12 23:41:05,11.6667,92.75,77.04,94,20,2.3
198,Saint-Francois,FR,2022-03-12 23:44:56,46.4154,3.9054,49.44,62,0,14.97
199,Bajmok,RS,2022-03-12 23:44:57,45.9688,19.4243,31.17,50,0,3.69
200,Margate,GB,2022-03-12 23:44:57,51.3813,1.3862,48.31,78,65,5.99
201,Tamworth,GB,2022-03-12 23:44:57,52.634,-1.6959,48.02,80,100,13.0
202,Fort Frances,CA,2022-03-12 23:44:58,48.5999,-93.4003,17.82,46,100,7.0
