City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vao,NC,-22.6667,167.4833,76.98,79,100,7.27,overcast clouds
80,Dhidhdhoo,MV,6.8833,73.1,83.46,72,93,11.07,overcast clouds
81,Hobart,AU,-42.8794,147.3294,64.06,84,75,8.05,broken clouds
82,Bengkulu,ID,-3.8004,102.2655,75.63,93,100,8.48,moderate rain
83,Kaeo,NZ,-35.1,173.7833,60.33,91,100,3.49,overcast clouds
84,Viedma,AR,-40.8135,-62.9967,68.05,31,6,19.55,clear sky
85,Solwezi,ZM,-12.1688,26.3894,63.97,97,100,7.67,light rain
86,Bahia Blanca,AR,-38.7196,-62.2724,75.33,27,29,11.12,scattered clouds
87,Soe,ID,-9.8607,124.284,66.42,96,99,3.83,overcast clouds
88,Hofn,IS,64.2539,-15.2082,35.62,60,20,35.68,few clouds
89,Dingle,PH,10.9995,122.6711,77.88,81,45,7.54,scattered clouds
90,Kulhudhuffushi,MV,6.6221,73.07,83.55,72,100,11.39,overcast clouds
91,Mnogovershinnyy,RU,53.9353,139.9242,16.32,96,100,5.01,light snow
92,Port Hardy,CA,50.6996,-127.4199,44.6,100,100,2.3,light rain
93,Ostrovnoy,RU,68.0531,39.5131,31.73,79,4,18.66,clear sky
94,Sao Filipe,CV,14.8961,-24.4956,70.83,67,1,6.33,clear sky
95,Mbandaka,CD,0.0487,18.2603,82.08,61,95,3.53,overcast clouds
96,Fort Nelson,CA,58.8053,-122.7002,20.79,86,20,0.0,few clouds
97,Pemangkat,ID,1.1667,108.9667,80.6,80,100,4.32,overcast clouds
98,Houma,US,29.5958,-90.7195,69.8,81,40,10.36,scattered clouds
99,Bluff,NZ,-46.6,168.3333,43.81,89,47,5.86,scattered clouds
100,Homer,US,59.6425,-151.5483,26.8,76,100,14.0,light snow
101,Carnarvon,AU,-24.8667,113.6333,77.07,73,40,14.97,scattered clouds
102,Marzuq,YE,14.4,46.4667,71.78,24,1,6.04,clear sky
103,Hasaki,JP,35.7333,140.8333,48.6,67,100,19.37,overcast clouds
104,Dolinsk,RU,47.35,142.8,21.99,96,98,3.71,overcast clouds
105,Kapaa,US,22.0752,-159.319,74.12,79,100,12.66,overcast clouds
106,Ilulissat,GL,69.2167,-51.1,-2.18,46,20,11.5,few clouds
107,Mahishadal,IN,22.1833,87.9833,75.83,80,100,10.18,overcast clouds
108,Bandarbeyla,SO,9.4942,50.8122,77.85,73,8,10.67,clear sky
109,Bredasdorp,ZA,-34.5322,20.0403,74.52,60,9,20.71,clear sky
110,Bezenchuk,RU,52.982,49.4333,7.77,96,24,5.19,few clouds
111,Bambous Virieux,MU,-20.3428,57.7575,80.22,85,18,3.83,light rain
112,Axim,GH,4.8699,-2.2405,84.47,68,98,11.3,overcast clouds
113,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,97.93,21,7,10.8,clear sky
114,Tessalit,ML,20.1986,1.0114,91.6,9,4,10.45,clear sky
115,Geraldton,AU,-28.7667,114.6,70.21,83,54,6.91,light rain
116,Podosinovets,RU,60.2776,47.0659,27.34,96,100,2.8,overcast clouds
117,Dandong,CN,40.1292,124.3947,35.65,51,100,6.11,overcast clouds
118,Yumen,CN,40.2833,97.2,46.8,60,100,8.03,overcast clouds
119,Port Alfred,ZA,-33.5906,26.891,71.94,68,0,14.74,clear sky
120,Vaini,TO,-21.2,-175.2,75.36,94,100,6.91,light rain
121,Ahipara,NZ,-35.1667,173.1667,60.37,83,98,5.39,overcast clouds
122,Nioro,GM,13.35,-15.75,101.41,8,3,7.83,clear sky
123,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,100,13.8,mist
124,Cidreira,BR,-30.1811,-50.2056,78.84,60,4,4.12,clear sky
125,Saint-Philippe,RE,-21.3585,55.7679,81.99,88,41,7.29,scattered clouds
126,Visnes,NO,59.3556,5.2242,42.85,87,75,9.22,broken clouds
127,Moses Lake,US,47.1301,-119.2781,30.88,93,0,5.75,clear sky
128,Barrow,US,71.2906,-156.7887,-16.58,76,0,0.0,clear sky
129,Basco,PH,20.4487,121.9702,77.77,91,5,12.97,clear sky
130,Goderich,CA,43.7501,-81.7165,53.92,54,89,13.8,overcast clouds
131,Norfolk,US,42.1668,-71.2495,56.68,87,100,4.0,light rain
132,East London,ZA,-33.0153,27.9116,74.34,68,0,12.66,clear sky
133,Airai,TL,-8.9266,125.4092,61.07,94,100,2.53,overcast clouds
134,Viloco,BO,-16.95,-67.55,53.28,57,18,7.63,few clouds
135,Olinda,BR,-8.0089,-34.8553,85.73,70,75,9.22,broken clouds
136,Saldanha,ZA,-33.0117,17.9442,84.25,70,20,12.73,few clouds
137,Iqaluit,CA,63.7506,-68.5145,1.13,59,100,9.22,overcast clouds
138,Kodiak,US,57.79,-152.4072,20.71,58,0,8.05,clear sky
139,Ambilobe,MG,-13.2,49.05,75.61,95,93,1.5,moderate rain
140,Evensk,RU,61.95,159.2333,-0.47,69,1,8.68,clear sky
141,La Baule-Escoublac,FR,47.2922,-2.364,55.71,59,0,9.22,clear sky
142,Eureka,US,40.8021,-124.1637,47.19,78,100,5.99,overcast clouds
143,Sept-Iles,CA,50.2001,-66.3821,26.06,89,100,14.97,overcast clouds
144,Sitka,US,57.0531,-135.33,39.09,81,100,14.97,moderate rain
145,Cabedelo,BR,-6.9811,-34.8339,88.47,65,57,12.82,broken clouds
146,Dzilam Gonzalez,MX,21.2833,-88.9333,85.75,53,7,7.25,clear sky
147,Longyearbyen,SJ,78.2186,15.6401,33.64,60,40,9.22,scattered clouds
148,Rio Grande,BR,-32.035,-52.0986,86.11,61,90,8.52,overcast clouds
149,Lima,PE,-12.0432,-77.0282,72.39,55,75,4.61,broken clouds
150,Itarema,BR,-2.9248,-39.9167,82.85,72,76,5.55,broken clouds
151,Valdivia,CL,-39.8142,-73.2459,60.89,47,32,4.23,scattered clouds
152,Rapar,IN,23.5667,70.6333,83.44,33,7,11.07,clear sky
153,Nanortalik,GL,60.1432,-45.2371,13.37,55,48,14.76,scattered clouds
154,Libreville,GA,0.3925,9.4537,87.82,70,20,9.22,few clouds
155,Shimanovsk,RU,52.0,127.7,0.27,98,87,4.41,overcast clouds
156,Hilo,US,19.7297,-155.09,68.25,88,0,6.91,clear sky
157,Adelaide,AU,-34.9333,138.6,67.15,73,0,11.5,clear sky
158,Lahij,YE,13.1667,44.5833,77.18,56,22,8.81,few clouds
159,Sawtell,AU,-30.3833,153.1,71.19,94,75,4.61,light rain
160,Khatanga,RU,71.9667,102.5,4.68,95,100,18.28,light snow
161,Kahului,US,20.8947,-156.47,73.85,68,0,12.66,clear sky
162,Wabrzezno,PL,53.2799,18.9477,49.01,44,38,13.13,scattered clouds
163,Esperance,AU,-33.8667,121.9,64.24,80,7,12.39,clear sky
164,Rayong,TH,12.8333,101.4333,82.83,99,54,4.88,broken clouds
165,Omboue,GA,-1.5746,9.2618,80.62,78,100,3.47,overcast clouds
166,Upernavik,GL,72.7868,-56.1549,-11.72,86,42,3.15,scattered clouds
167,Locri,IT,38.2414,16.2623,55.83,72,89,5.77,overcast clouds
168,Hualmay,PE,-11.0964,-77.6139,76.95,67,11,11.48,few clouds
169,Avera,US,33.194,-82.5271,60.39,70,86,5.93,overcast clouds
170,Vanimo,PG,-2.6741,141.3028,78.78,88,25,4.94,scattered clouds
171,Umm Lajj,SA,25.0213,37.2685,69.39,42,0,24.47,clear sky
172,Wattegama,LK,6.7989,81.4808,75.83,89,99,3.51,moderate rain
173,Cabinda,AO,-5.55,12.2,87.94,62,20,6.91,few clouds
174,Tiksi,RU,71.6872,128.8694,-6.66,91,55,12.93,broken clouds
175,Richards Bay,ZA,-28.783,32.0377,71.08,70,32,4.72,scattered clouds
176,Biak,ID,-0.9131,122.8766,76.91,85,96,3.71,overcast clouds
177,Pucallpa,PE,-8.3791,-74.5539,80.64,78,75,4.61,broken clouds
178,Sembe,CG,1.6481,14.5806,90.54,42,96,2.35,overcast clouds
179,Coahuayana,MX,18.7333,-103.6833,85.42,24,2,3.56,clear sky
180,Chapais,CA,49.7834,-74.8492,35.38,99,100,7.9,overcast clouds
181,Hithadhoo,MV,-0.6,73.0833,84.11,69,5,10.8,clear sky
182,Ballina,AU,-28.8667,153.5667,69.01,96,56,4.61,broken clouds
183,Birigui,BR,-21.2886,-50.34,88.29,50,75,11.68,broken clouds
184,Saint-Pierre,RE,-21.3393,55.4781,82.08,84,40,8.05,scattered clouds
185,Kaitangata,NZ,-46.2817,169.8464,49.46,90,92,5.7,overcast clouds
